X,Y,BusStopID,CreateDate,LastEditDate
1557030.8905,5177249.6332,4641,,
1557032.1156,5177262.6688,4642,,
1557369.6163,5177769.0605,4643,,
1557385.0675,5177770.6024,4644,,
1557456.994,5177603.341,4645,,
1557495.7092,5177561.3819,4646,,
1557536.5367,5177843.2422,4647,,
1557700.8178,5177607.2355,4648,,
1557707.8544,5177625.0389,4649,,
1558456.8974,5178008.9179,4650,,
1558551.9625,5178071.4675,4651,,
1559805.4478,5178720.5966,4652,,
1559823.563,5178747.2601,4653,,
1560137.8574,5178902.8322,4654,,
1560166.4328,5178901.569,4655,,
1560174.2162,5178696.5817,4656,,
1560189.0567,5178639.3945,4657,,
1560351.165,5170891.4408,4658,,
1560359.8488,5170884.4618,4659,,
1560418.8255,5173757.7606,4660,,
1560427.6422,5173797.2736,4661,,
1560469.6761,5174352.5849,4662,,
1560483.7671,5174343.9494,4663,,
1560553.653,5172842.0667,4664,,
1560685.5347,5174665.2534,4665,,
1560741.1474,5174720.6888,4666,,
1560858.9835,5174918.2262,4667,,
1560864.0958,5174900.0082,4668,,
1560865.8574,5178767.6168,4669,,
1560877.6002,5178776.6368,4670,,
1560878.1228,5179057.3734,4671,,
1560881.2927,5179102.6832,4672,,
1561005.9753,5178620.7512,4673,,
1561005.961,5179404.2324,4674,,
1561007.7511,5178605.7013,4675,,
1561032.2949,5179431.751,4676,,
1561226.0044,5179631.1627,4677,,
1561234.6144,5179614.9195,4678,,
1561324.4331,5178697.9924,4679,,
1561336.6173,5178671.0965,4680,,
1561415.9459,5179821.7397,4681,,
1561417.6154,5175829.8261,4682,,
1561420.6431,5175808.8525,4683,,
1561422.0808,5178853.0754,4684,,
1561483.3276,5179844.2054,4685,,
1561529.523,5178727.7352,4686,,
1561579.9279,5178866.1079,4687,,
1561625.1257,5180110.6891,4688,,
1561630.9875,5180105.8469,4689,,
1561657.6387,5178491.2931,4690,,
1561687.4587,5178479.6461,4691,,
1561772.5549,5180204.6328,4692,,
1561780.4265,5180188.8179,4693,,
1561842.112,5178289.7094,4694,,
1561847.4982,5178760.9569,4695,,
1561850.7904,5178300.6984,4696,,
1561859.0884,5176568.0644,4697,,
1561886.8253,5179359.4188,4698,,
1561898.6249,5178741.8888,4699,,
1561939.307,5180149.1371,4700,,
1561939.5905,5179441.2933,4701,,
1561953.7119,5176825.812,4702,,
1561975.5985,5180147.4656,4703,,
1562044.6951,5178067.832,4704,,
1562078.1928,5178051.0619,4705,,
1562089.5874,5180086.6253,4706,,
1562121.6036,5179935.872,4707,,
1562132.5459,5178767.0119,4708,,
1562151.5702,5177408.1334,4709,,
1562153.7726,5177384.234,4710,,
1562168.8406,5179986.2605,4711,,
1562242.9983,5180022.9838,4712,,
1562245.5877,5180042.4898,4713,,
1562246.3042,5181077.5719,4714,,
1562252.8612,5177839.0496,4715,,
1562258.7828,5177853.3322,4716,,
1562260.1107,5181042.5094,4717,,
1562280.9998,5180270.8328,4718,,
1562294.1754,5180349.3612,4719,,
1562303.8912,5178803.2267,4720,,
1562379.978,5177786.4082,4721,,
1562402.7966,5181462.4572,4722,,
1562429.4413,5181462.8615,4723,,
1562492.5515,5177870.0127,4724,,
1562504.8675,5177900.8903,4725,,
1562525.4546,5177720.5283,4726,,
1562543.863,5179900.2884,4727,,
1562547.108,5177718.1501,4728,,
1562559.591,5179912.6817,4729,,
1562602.5584,5181582.6295,4730,,
1562639.4875,5178757.6108,4731,,
1562660.0229,5178013.6613,4732,,
1562676.3892,5178041.2625,4733,,
1562692.0911,5177538.4024,4734,,
1562693.9711,5177557.6711,4735,,
1562693.9865,5181556.2493,4736,,
1562777.9041,5179803.4095,4737,,
1562797.3138,5179810.5139,4738,,
1562802.2391,5178771.9191,4739,,
1562804.2681,5178113.6405,4740,,
1562850.2349,5181457.947,4741,,
1562877.0867,5178154.1924,4742,,
1562918.0369,5184910.7289,4743,,
1562922.2699,5181434.755,4744,,
1562989.5704,5179731.9215,4745,,
1562994.9748,5178342.8384,4746,,
1563006.721,5179710.5143,4747,,
1563023.9629,5178355.5481,4748,,
1563028.4456,5181095.1012,4749,,
1563029.601,5181062.8218,4750,,
1563042.2429,5178731.7839,4751,,
1563096.0292,5178752.9038,4752,,
1563097.8783,5181362.6533,4753,,
1563116.1467,5181309.0773,4754,,
1563159.1312,5177172.9855,4755,,
1563175.2038,5178590.5429,4756,,
1563178.7392,5177145.5383,4757,,
