CyclewayID,ServiceStatus,MajorCyclewayName,Type,StrategicNetworkCategory,PublicRelevance,Ownership,TrafficDirection,CreateDate,LastEditDate,SHAPE_Length
1,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,39.6065163108082
2,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,32.6355935372831
3,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,85.990663925532
4,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,39.3929255167424
5,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,17.4288852220342
6,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,72.7506921723404
7,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,21.6970099817472
8,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,58.2925306330591
9,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,30.6671402666912
10,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:09+00,22.1532514818733
11,In Service,,Shared path,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,131.664559288744
12,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,18.194754672605
13,In Service,,Cycle lane,C3,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,46.8624065321762
14,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,52.6477188793695
15,In Service,,Cycle lane,C3,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,39.7424298310307
16,In Service,,Cycle lane,C1,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,47.8383145402518
17,In Service,,Cycle lane,C1,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,46.7114346165454
18,In Service,,Cycle lane,C1,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,67.9416048034235
19,In Service,,Cycle lane,C1,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,125.183208297918
20,In Service,,Cycle lane,C1,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,27.4941571292907
21,In Service,,Cycle lane,C1,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,139.603169197201
22,In Service,,Cycle lane,C3,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,12.8246358280713
23,In Service,,Cycle lane,C3,No Public Relevance,Waka Kotahi,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,6.23291522875539
24,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,76.548370093251
25,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,13.1232812930931
26,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,117.494835300856
27,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,149.509230064121
28,In Service,,Cycleway,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,112.85100620655
29,In Service,,Cycleway,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,351.322599657981
30,In Service,,Cycle lane,C1,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,327.048588104236
31,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,41.5218201914439
32,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,24.7434345952517
33,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,21.2093979158812
34,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,261.83341174523
35,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,99.8361896620263
36,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,101.377221563614
37,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,95.0813547776816
38,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,276.970424964427
39,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,99.3318632935318
40,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,147.48948805232
41,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,98.1829805613043
42,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,28.0712216085756
43,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:10+00,66.880179829671
44,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,25.7018589536017
45,In Service,,Cycle lane,C1,Public,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,268.114055369389
46,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,200.618447338594
47,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,37.1612483535211
48,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,44.1374421775432
49,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,65.7118194192132
50,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,17.3659365731514
51,In Service,,Cycle lane,C2,No Public Relevance,CCC,,2021/03/23 00:33:26+00,2021/08/11 03:43:11+00,10.1492225583265
